met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
pail45p_hs[m],"phosphatidylinositol 4,5-bisphosphate",2,,,FALSE,[m],pail45p_hs,pail45p_hs.m.,
CE5101[m],1-phosphatidyl-1D-myo-inositol 5-phosphate(3-),2,,,FALSE,[m],CE5101,CE5101.m.,
CE2434[m],"trans,cis,cis-2,9,12-octadecatrienoyl-CoA",2,,,FALSE,[m],CE2434,CE2434.m.,
CE2434[x],"trans,cis,cis-2,9,12-octadecatrienoyl-CoA",2,,,FALSE,[x],CE2434,CE2434.x.,
CE0849[m],"cis,cis-palmito-7,10-dienoyl-CoA",2,,,FALSE,[m],CE0849,CE0849.m.,
CE0849[x],"cis,cis-palmito-7,10-dienoyl-CoA",2,,,FALSE,[x],CE0849,CE0849.x.,
CE0785[x],"cis,cis-myristo-5,8-dienoyl-CoA",2,,HMDB02288,FALSE,[x],CE0785,CE0785.x.,HMDB0002288
CE2432[x],"trans-2-cis,cis-5,8-tetradecatrienoyl-CoA",2,,,FALSE,[x],CE2432,CE2432.x.,
CE2431[x],cis-deca-4-enoyl-CoA,2,,HMDB02145,FALSE,[x],CE2431,CE2431.x.,HMDB0002145
CE2435[x],"trans,cis-deca-2,4-dienoyl-CoA",2,,,FALSE,[x],CE2435,CE2435.x.,
CE2420[m],(3S)-3-hydroxydodec-cis-6-enoyl-CoA,2,,HMDB12476,FALSE,[m],CE2420,CE2420.m.,HMDB0012476
CE2420[x],(3S)-3-hydroxydodec-cis-6-enoyl-CoA,2,,HMDB12476,FALSE,[x],CE2420,CE2420.x.,HMDB0012476
CE2417[m],"3(S)-hydroxy-5Z,8Z-tetradecadienoyl-CoA",2,,,FALSE,[m],CE2417,CE2417.m.,
CE2417[x],"3(S)-hydroxy-5Z,8Z-tetradecadienoyl-CoA",2,,,FALSE,[x],CE2417,CE2417.x.,
CE2418[m],"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",2,,HMDB12473,FALSE,[m],CE2418,CE2418.m.,HMDB0012473
CE2418[x],"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",2,,HMDB12473,FALSE,[x],CE2418,CE2418.x.,HMDB0012473
CE2422[m],"3-oxo-cis,cis-7,10-hexadecadienoyl-CoA",2,,,FALSE,[m],CE2422,CE2422.m.,
CE2422[x],"3-oxo-cis,cis-7,10-hexadecadienoyl-CoA",2,,,FALSE,[x],CE2422,CE2422.x.,
CE2424[m],"3-oxo-cis,cis-5,8-tetradecadienoyl-CoA",2,,,FALSE,[m],CE2424,CE2424.m.,
CE2424[x],"3-oxo-cis,cis-5,8-tetradecadienoyl-CoA",2,,,FALSE,[x],CE2424,CE2424.x.,
CE0693[m],3-oxolaur-6-cis-enoyl-CoA,2,,,FALSE,[m],CE0693,CE0693.m.,
